M0001,ev7,3815
M0001,ev13,2657
M0001,ev19,3648
M0002,ev7,4772
M0002,ev13,4098
M0002,ev19,4921
M0003,ev7,16242
M0003,ev13,16301
M0003,ev19,16276
M0004,ev7,12598
M0004,ev13,12559
M0004,ev19,12533
M0005,ev7,16077
M0005,ev13,16229
M0005,ev19,16037
M0006,ev7,16431
M0006,ev13,16433
M0006,ev19,16377
M0007,ev7,15459
M0007,ev13,15326
M0007,ev19,15259
M0008,ev7,15261
M0008,ev13,15028
M0008,ev19,14975
M0024,ev7,13758
M0024,ev13,13798
M0024,ev19,13714
M0025,ev7,6117
M0025,ev13,3690
M0025,ev19,4290
M0026,ev7,9629
M0026,ev13,9091
M0026,ev19,9138
M0031,ev7,2890
M0031,ev13,2511
M0031,ev19,2900
M0033,ev7,6639
M0033,ev13,6178
M0033,ev19,6296
M0037,ev7,14868
M0037,ev13,15180
M0037,ev19,14837
M0059,ev7,11
M0059,ev13,3
M0059,ev19,3
M0064,ev7,114
M0064,ev13,26
M0064,ev19,171
M0103,ev7,2861
M0103,ev13,1794
M0103,ev19,2465
M0123,ev7,6387
M0123,ev13,6327
M0123,ev19,6562
M0221,ev7,982
M0221,ev13,962
M0221,ev19,965
M0258,ev7,12723
M0258,ev13,12782
M0258,ev19,12763
M1036,ev7,5627
M1036,ev13,5601
M1036,ev19,5504
M1094,ev7,3340
M1094,ev13,2821
M1094,ev19,3485
M1096,ev7,4744
M1096,ev13,4759
M1096,ev19,4694
M1208,ev7,2099
M1208,ev13,1644
M1208,ev19,1815
M1240,ev7,1375
M1240,ev13,1330
M1240,ev19,1336
