id_estacion,id_usuario,fecha_ingreso,codigo,anio,mes,dia,rr,hora,fecha_toma
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,20,12.5,07,2022-02-20 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,20,4.2,13,2022-02-20 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,20,1.1,19,2022-02-20 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,21,7.9,07,2022-02-21 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,21,2.8,13,2022-02-21 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,21,0.7,19,2022-02-21 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,22,0.0,07,2022-02-22 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,22,0.0,13,2022-02-22 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,22,1.6,19,2022-02-22 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,23,0.8,07,2022-02-23 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,23,0.0,13,2022-02-23 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,23,0.0,19,2022-02-23 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,24,0.6,07,2022-02-24 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,24,0.0,13,2022-02-24 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,24,8.2,19,2022-02-24 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,25,4.8,07,2022-02-25 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,25,0.0,13,2022-02-25 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,25,8.1,19,2022-02-25 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,26,1.7,07,2022-02-26 07:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,26,0.0,13,2022-02-26 13:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,26,4.7,19,2022-02-26 19:00:00
63755,0,2023-06-21 16:09:21.574,M0001,2022,2,27,0.6,07,2022-02-27 07:00:00
