M0001,ts7,16393,16622
M0001,th7,16389,16622
M0001,ts13,16581,16622
M0001,th13,16565,16622
M0001,ts19,16554,16622
M0001,th19,16558,16622
M0001,ev7,14237,16622
M0001,ev13,14252,16622
M0001,ev19,14246,16622
M0001,vv7,16600,16622
M0001,an7,16622,16622
M0001,vv13,16583,16622
M0001,an13,16622,16622
M0001,vv19,16583,16622
M0001,an19,16622,16622
M0001,nu7,16622,16622
M0001,nu13,16622,16622
M0001,nu19,16622,16622
M0002,ts7,15561,15645
M0002,th7,15557,15645
M0002,ts13,15522,15645
M0002,th13,15518,15645
M0002,ts19,15557,15645
M0002,th19,15554,15645
M0002,ev7,15259,15645
M0002,ev13,15171,15645
M0002,ev19,15228,15645
M0002,vv7,15596,15645
M0002,an7,15645,15645
M0002,vv13,15521,15645
M0002,an13,15645,15645
M0002,vv19,15584,15645
M0002,an19,15645,15645
M0002,nu7,15645,15645
M0002,nu13,15645,15645
M0002,nu19,15645,15645
M0003,ts7,19065,19177
M0003,th7,19057,19177
M0003,ts13,19098,19177
M0003,th13,19090,19177
M0003,ts19,19110,19177
M0003,th19,19101,19177
M0003,ev7,19038,19177
M0003,ev13,19012,19177
M0003,ev19,18993,19177
M0003,vv7,19111,19177
M0003,an7,19177,19177
M0003,vv13,19111,19177
M0003,an13,19177,19177
M0003,vv19,19103,19177
M0003,an19,19177,19177
M0003,nu7,19177,19177
M0003,nu13,19177,19177
M0003,nu19,19177,19177
M0004,ts7,16787,16988
M0004,th7,16772,16988
M0004,ts13,16682,16988
M0004,th13,16651,16988
M0004,ts19,16653,16988
M0004,th19,16647,16988
M0004,ev7,16463,16988
M0004,ev13,16451,16988
M0004,ev19,16400,16988
M0004,vv7,16795,16988
M0004,an7,16988,16988
M0004,vv13,16638,16988
M0004,an13,16988,16988
M0004,vv19,16698,16988
M0004,an19,16988,16988
M0004,nu7,16988,16988
M0004,nu13,16988,16988
M0004,nu19,16988,16988
M0005,ts7,16832,18017
M0005,th7,16830,18017
M0005,ts13,16806,18017
M0005,th13,16805,18017
M0005,ts19,16817,18017
M0005,th19,16810,18017
M0005,ev7,17583,18017
M0005,ev13,17559,18017
M0005,ev19,17556,18017
M0005,vv7,16811,18017
M0005,an7,18017,18017
M0005,vv13,16778,18017
M0005,an13,18017,18017
M0005,vv19,16755,18017
M0005,an19,18017,18017
M0005,nu7,18017,18017
M0005,nu13,18017,18017
M0005,nu19,18017,18017
M0006,ts7,16764,18843
M0006,th7,16761,18843
M0006,ts13,16705,18843
M0006,th13,16701,18843
M0006,ts19,16660,18843
M0006,th19,16675,18843
M0006,ev7,18410,18843
M0006,ev13,18489,18843
M0006,ev19,18593,18843
M0006,vv7,16774,18843
M0006,an7,18843,18843
M0006,vv13,16757,18843
M0006,an13,18843,18843
M0006,vv19,16731,18843
M0006,an19,18843,18843
M0006,nu7,18843,18843
M0006,nu13,18843,18843
M0006,nu19,18843,18843
M0007,ts7,16080,16741
M0007,th7,16303,16741
M0007,ts13,16191,16741
M0007,th13,16180,16741
M0007,ts19,16146,16741
M0007,th19,16148,16741
M0007,ev7,16312,16741
M0007,ev13,16146,16741
M0007,ev19,16141,16741
M0007,vv7,16639,16741
M0007,an7,16741,16741
M0007,vv13,16427,16741
M0007,an13,16741,16741
M0007,vv19,16445,16741
M0007,an19,16741,16741
M0007,nu7,16741,16741
M0007,nu13,16741,16741
M0007,nu19,16741,16741
M0008,ts7,20874,21061
M0008,th7,20861,21061
M0008,ts13,20821,21061
M0008,th13,20798,21061
M0008,ts19,20676,21061
M0008,th19,20827,21061
M0008,ev7,19226,21061
M0008,ev13,19313,21061
M0008,ev19,19473,21061
M0008,vv7,20450,21061
M0008,an7,21061,21061
M0008,vv13,20437,21061
M0008,an13,21061,21061
M0008,vv19,20435,21061
M0008,an19,21061,21061
M0008,nu7,21061,21061
M0008,nu13,21061,21061
M0008,nu19,21061,21061
M0024,ts7,15736,16070
M0024,th7,15818,16070
M0024,ts13,15861,16070
M0024,th13,15838,16070
M0024,ts19,15791,16070
M0024,th19,15792,16070
M0024,ev7,15670,16070
M0024,ev13,15693,16070
M0024,ev19,15583,16070
M0024,vv7,15711,16070
M0024,an7,16070,16070
M0024,vv13,15712,16070
M0024,an13,16070,16070
M0024,vv19,15673,16070
M0024,an19,16070,16070
M0024,nu7,16070,16070
M0024,nu13,16070,16070
M0024,nu19,16070,16070
M0025,ts7,19120,19205
M0025,th7,19066,19205
M0025,ts13,19059,19205
M0025,th13,18974,19205
M0025,ts19,19004,19205
M0025,th19,18970,19205
M0025,ev7,17023,19205
M0025,ev13,17176,19205
M0025,ev19,17141,19205
M0025,vv7,19150,19205
M0025,an7,19205,19205
M0025,vv13,19137,19205
M0025,an13,19205,19205
M0025,vv19,19112,19205
M0025,an19,19205,19205
M0025,nu7,19205,19205
M0025,nu13,19205,19205
M0025,nu19,19205,19205
M0026,ts7,18979,19105
M0026,th7,18871,19105
M0026,ts13,18795,19105
M0026,th13,18659,19105
M0026,ts19,18759,19105
M0026,th19,18692,19105
M0026,ev7,11153,19105
M0026,ev13,11346,19105
M0026,ev19,11338,19105
M0026,vv7,18975,19105
M0026,an7,19105,19105
M0026,vv13,18886,19105
M0026,an13,19105,19105
M0026,vv19,18930,19105
M0026,an19,19105,19105
M0026,nu7,19105,19105
M0026,nu13,19105,19105
M0026,nu19,19105,19105
M0027,ts7,6853,7019
M0027,th7,6875,7019
M0027,ts13,6781,7019
M0027,th13,6779,7019
M0027,ts19,6691,7019
M0027,th19,6752,7019
M0027,ev7,1,7019
M0027,ev13,1,7019
M0027,ev19,0,7019
M0027,vv7,5660,7019
M0027,an7,7019,7019
M0027,vv13,5585,7019
M0027,an13,7019,7019
M0027,vv19,5557,7019
M0027,an19,7019,7019
M0027,nu7,7019,7019
M0027,nu13,7019,7019
M0027,nu19,7019,7019
M0031,ts7,17618,18872
M0031,th7,18199,18872
M0031,ts13,18673,18872
M0031,th13,18633,18872
M0031,ts19,18662,18872
M0031,th19,18646,18872
M0031,ev7,12766,18872
M0031,ev13,12756,18872
M0031,ev19,12762,18872
M0031,vv7,18742,18872
M0031,an7,18872,18872
M0031,vv13,18715,18872
M0031,an13,18872,18872
M0031,vv19,18720,18872
M0031,an19,18872,18872
M0031,nu7,18872,18872
M0031,nu13,18872,18872
M0031,nu19,18872,18872
M0033,ts7,17516,18537
M0033,th7,17824,18537
M0033,ts13,18230,18537
M0033,th13,18207,18537
M0033,ts19,18138,18537
M0033,th19,18164,18537
